Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AFS - Rande da África do Sul (em USD),K19,14166.7,14299.7,133.0,1330.0
AFS - Rande da África do Sul (em USD),M19,14221.6,14358.1,136.5,1365.0
AFS - Rande da África do Sul (em USD),N19,14268.9,14404.5,135.6,1356.0
ARB - Peso Argentino (em Reais),K19,91.558,91.532,-0.026,3.9
ARB - Peso Argentino (em Reais),M19,88.387,87.614,-0.773,115.95
ARB - Peso Argentino (em Reais),N19,85.077,84.287,-0.79,118.5
AUD - Dólar Australiano (em Reais),K19,2807.086,2782.372,-24.714,1482.84
AUD - Dólar Australiano (em Reais),M19,2815.762,2791.175,-24.587,1475.22
AUD - Dólar Australiano (em Reais),N19,2822.788,2798.084,-24.704,1482.24
AUS - Dólar Australiano (em USD),K19,713.25,709.35,-3.9,153.8
AUS - Dólar Australiano (em USD),M19,713.79,709.933,-3.857,152.1
AUS - Dólar Australiano (em USD),N19,714.214,710.3,-3.914,154.35
B3SAO - Contrato Futuro de B3SA3,K19,32.13,33.02,0.89,0.89
B3SAO - Contrato Futuro de B3SA3,M19,32.35,33.24,0.89,0.89
BGI - Boi gordo,J19,157.5,157.6,0.1,33.0
BGI - Boi gordo,K19,154.9,155.2,0.3,99.0
BGI - Boi gordo,M19,154.75,155.05,0.3,99.0
BGI - Boi gordo,N19,155.15,155.35,0.2,66.0
BGI - Boi gordo,Q19,156.75,156.95,0.2,66.0
BGI - Boi gordo,U19,158.55,158.75,0.2,66.0
BGI - Boi gordo,V19,160.25,160.45,0.2,66.0
BGI - Boi gordo,X19,159.15,159.35,0.2,66.0
BGI - Boi gordo,Z19,158.65,158.85,0.2,66.0
BRI - Futuro do Índice Brasil 50,M19,15784.0,16005.0,221.0,2210.0
BRI - Futuro do Índice Brasil 50,Q19,15939.0,16162.0,223.0,2230.0
CAD - Dólar Canadense (em Reais),K19,2950.024,2918.851,-31.173,1870.38
CAD - Dólar Canadense (em Reais),M19,2959.3,2928.204,-31.096,1865.76
CAD - Dólar Canadense (em Reais),N19,2966.936,2935.941,-30.995,1859.7
CAN - Dólar Canadense (em USD),K19,1334.1,1343.825,9.725,97.25
CAN - Dólar Canadense (em USD),M19,1333.019,1342.667,9.648,96.48
CAN - Dólar Canadense (em USD),N19,1332.114,1341.75,9.636,96.36
CCM - Milho,K19,34.16,34.14,-0.02,9.0
CCM - Milho,N19,32.1,32.02,-0.08,36.0
CCM - Milho,U19,31.9,31.93,0.03,13.5
CCM - Milho,X19,34.39,34.3,-0.09,40.5
CCM - Milho,F20,35.38,35.41,0.03,13.5
CCM - Milho,H20,35.79,35.82,0.03,13.5
CCM - Milho,K20,33.14,33.17,0.03,13.5
CCM - Milho,N20,32.33,32.36,0.03,13.5
CCM - Milho,U20,32.19,32.22,0.03,13.5
CCROO - Contrato Futuro de CCRO3,K19,11.89,12.05,0.16,0.16
CCROO - Contrato Futuro de CCRO3,M19,11.98,12.14,0.16,0.16
CHF - Franco Suíço (em Reais),K19,3876.701,3847.778,-28.923,1446.15
CHF - Franco Suíço (em Reais),M19,3898.026,3869.687,-28.339,1416.95
CHF - Franco Suíço (em Reais),N19,3915.88,3886.827,-29.053,1452.65
CHL - Peso Chileno (em USD),K19,664751.0,667777.5,3026.5,30265.0
CHL - Peso Chileno (em USD),M19,664896.7,667920.0,3023.3,30233.0
CHL - Peso Chileno (em USD),N19,664960.0,668002.5,3042.5,30425.0
CIELO - Contrato Futuro de CIEL3,K19,8.08,8.41,0.33,0.33
CIELO - Contrato Futuro de CIEL3,M19,8.12,8.45,0.33,0.33
CLP - Peso Chileno (em Reais),K19,5920.4,5873.8,-46.6,1165.0
CLP - Peso Chileno (em Reais),M19,5933.0,5886.3,-46.7,1167.5
CLP - Peso Chileno (em Reais),N19,5943.7,5897.1,-46.6,1165.0
CMIGP - Contrato Futuro de CMIG4,K19,14.38,14.57,0.19,0.19
CMIGP - Contrato Futuro de CMIG4,M19,14.46,14.65,0.19,0.19
CNH - Iuan Chinês Offshore (em USD),K19,6711.81,6728.8,16.99,169.9
CNH - Iuan Chinês Offshore (em USD),M19,6711.829,6728.333,16.504,165.04
CNH - Iuan Chinês Offshore (em USD),N19,6712.457,6728.775,16.318,163.18
CNY - Iuan Chinês Onshore (em Reais),K19,5863.306,5831.411,-31.895,1116.32
CNY - Iuan Chinês Onshore (em Reais),M19,5875.796,5842.861,-32.935,1152.72
CNY - Iuan Chinês Onshore (em Reais),N19,5885.261,5851.69,-33.571,1174.98
DAP - Cupom de DI x IPCA,K19,100015.41,100031.64,16.23,17.93
DAP - Cupom de DI x IPCA,M19,99752.26,99775.74,23.48,27.34
DAP - Cupom de DI x IPCA,N19,99453.25,99467.19,13.94,14.98
DAP - Cupom de DI x IPCA,F20,97561.13,97611.17,50.04,61.83
DAP - Cupom de DI x IPCA,Q20,96217.64,96329.94,112.3,142.57
DAP - Cupom de DI x IPCA,F21,94893.77,95003.28,109.51,138.99
DAP - Cupom de DI x IPCA,K21,93911.21,94112.71,201.5,258.26
DAP - Cupom de DI x IPCA,Q22,88570.8,88954.21,383.41,494.19
DAP - Cupom de DI x IPCA,K23,85705.56,85954.76,249.2,320.33
DAP - Cupom de DI x IPCA,Q24,80347.12,80648.98,301.86,388.75
DAP - Cupom de DI x IPCA,Q26,72740.77,73163.47,422.7,545.61
DAP - Cupom de DI x IPCA,Q28,65475.07,65955.52,480.45,620.69
DAP - Cupom de DI x IPCA,Q30,60011.31,60543.54,532.23,687.97
DAP - Cupom de DI x IPCA,K35,47193.9,47711.54,517.64,669.45
DCO - Cupom Cambial em OC1,K19,100173.72,99837.76,-335.96,87.93
DCO - Cupom Cambial em OC1,M19,99864.28,99530.71,-333.57,90.3
DCO - Cupom Cambial em OC1,N19,99585.72,99258.05,-327.67,99.8
DCO - Cupom Cambial em OC1,Q19,99267.58,98944.59,-322.99,106.62
DCO - Cupom Cambial em OC1,U19,98959.39,98640.08,-319.31,111.53
DCO - Cupom Cambial em OC1,V19,98667.73,98350.58,-317.15,113.61
DCO - Cupom Cambial em OC1,X19,98341.24,98018.72,-322.52,100.62
DCO - Cupom Cambial em OC1,Z19,98039.1,97735.73,-303.37,135.95
DCO - Cupom Cambial em OC1,F20,97710.02,97408.98,-301.04,138.05
DCO - Cupom Cambial em OC1,G20,97392.32,97099.53,-292.79,151.87
DCO - Cupom Cambial em OC1,H20,97101.96,96816.41,-285.55,163.9
DCO - Cupom Cambial em OC1,J20,96800.76,96513.92,-286.84,159.13
DCO - Cupom Cambial em OC1,K20,96491.06,96221.31,-269.75,190.34
DCO - Cupom Cambial em OC1,N20,95931.73,95654.11,-277.62,170.72
DCO - Cupom Cambial em OC1,V20,95055.92,94796.09,-259.83,199.11
DCO - Cupom Cambial em OC1,F21,94233.6,93991.34,-242.26,227.43
DCO - Cupom Cambial em OC1,J21,93468.78,93242.22,-226.56,252.52
DCO - Cupom Cambial em OC1,N21,92689.08,92440.43,-248.65,203.38
DCO - Cupom Cambial em OC1,V21,91901.24,91706.19,-195.05,302.63
DCO - Cupom Cambial em OC1,F22,91091.19,90956.91,-134.28,415.79
DCO - Cupom Cambial em OC1,J22,90369.97,90228.68,-141.29,396.67
DCO - Cupom Cambial em OC1,N22,89587.48,89435.99,-151.49,370.84
DCO - Cupom Cambial em OC1,V22,88790.04,88680.11,-109.93,446.41
DCO - Cupom Cambial em OC1,F23,88055.67,87960.42,-95.25,469.74
DCO - Cupom Cambial em OC1,J23,87272.52,87191.41,-81.11,491.63
DCO - Cupom Cambial em OC1,N23,86495.65,86428.18,-67.47,512.59
DCO - Cupom Cambial em OC1,V23,85758.11,85703.88,-54.23,533.05
DCO - Cupom Cambial em OC1,F24,84953.22,84911.77,-41.45,552.12
