Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AFS - Rande da África do Sul (em USD),K22,15630.2,15712.9,82.7,255.33
AFS - Rande da África do Sul (em USD),M22,15687.3,15769.0,81.7,252.24
AFS - Rande da África do Sul (em USD),N22,15741.8,15819.2,77.4,238.97
AFS - Rande da África do Sul (em USD),Q22,15790.6,15872.3,81.7,252.24
AFS - Rande da África do Sul (em USD),U22,15848.6,15931.5,82.9,255.95
ARB - Peso Argentino (em Reais),K22,41.834,42.113,0.279,41.85
ARB - Peso Argentino (em Reais),M22,39.982,40.378,0.396,59.4
ARB - Peso Argentino (em Reais),N22,38.47,38.868,0.398,59.7
ARB - Peso Argentino (em Reais),Q22,36.992,37.28,0.288,43.2
ARB - Peso Argentino (em Reais),U22,35.588,35.897,0.309,46.35
ARS - Peso Argentino (em USD),K22,115726.3,115784.6,58.3,24.59
ARS - Peso Argentino (em USD),M22,122228.1,121907.0,-321.1,135.44
ARS - Peso Argentino (em USD),N22,128209.5,127818.2,-391.3,165.05
ARS - Peso Argentino (em USD),Q22,134415.4,134357.2,-58.2,24.54
ARS - Peso Argentino (em USD),U22,141008.1,140816.1,-192.0,80.98
AUD - Dólar Australiano (em Reais),K22,3504.902,3494.884,-10.018,601.08
AUD - Dólar Australiano (em Reais),M22,3539.898,3529.94,-9.958,597.48
AUD - Dólar Australiano (em Reais),N22,3574.562,3564.596,-9.966,597.96
AUD - Dólar Australiano (em Reais),Q22,3605.488,3595.828,-9.66,579.6
AUD - Dólar Australiano (em Reais),U22,3640.932,3630.988,-9.944,596.64
AUS - Dólar Australiano (em USD),K22,723.958,716.742,-7.216,350.56
AUS - Dólar Australiano (em USD),M22,724.351,717.119,-7.232,351.33
AUS - Dólar Australiano (em USD),N22,724.737,717.504,-7.233,351.38
AUS - Dólar Australiano (em USD),Q22,725.12,717.902,-7.218,350.65
AUS - Dólar Australiano (em USD),U22,725.538,718.318,-7.22,350.75
B3SAO - Contrato Futuro de B3SA3,K22,14.49,14.24,-0.25,0.25
B3SAO - Contrato Futuro de B3SA3,M22,14.62,14.37,-0.25,0.25
BGI - Boi gordo,J22,328.8,330.55,1.75,577.5
BGI - Boi gordo,K22,321.2,322.15,0.95,313.5
BGI - Boi gordo,M22,321.6,322.55,0.95,313.5
BGI - Boi gordo,N22,330.45,328.0,-2.45,808.5
BGI - Boi gordo,Q22,315.1,315.2,0.1,33.0
BGI - Boi gordo,U22,331.7,331.85,0.15,49.5
BGI - Boi gordo,V22,333.5,333.65,0.15,49.5
BGI - Boi gordo,X22,330.7,330.85,0.15,49.5
BRI - Futuro do Índice Brasil 50,M22,18773.0,18638.0,-135.0,1350.0
BRI - Futuro do Índice Brasil 50,Q22,19140.0,19001.0,-139.0,1390.0
CAD - Dólar Canadense (em Reais),K22,3805.963,3829.408,23.445,1406.7
CAD - Dólar Canadense (em Reais),M22,3841.429,3865.513,24.084,1445.04
CAD - Dólar Canadense (em Reais),N22,3876.077,3900.562,24.485,1469.1
CAD - Dólar Canadense (em Reais),Q22,3906.906,3932.016,25.11,1506.6
CAD - Dólar Canadense (em Reais),U22,3942.144,3967.634,25.49,1529.4
CAN - Dólar Canadense (em USD),K22,1272.032,1273.322,1.29,48.86
CAN - Dólar Canadense (em USD),M22,1272.181,1273.412,1.231,46.62
CAN - Dólar Canadense (em USD),N22,1272.478,1273.676,1.198,45.37
CAN - Dólar Canadense (em USD),Q22,1272.686,1273.85,1.164,44.09
CAN - Dólar Canadense (em USD),U22,1272.976,1274.021,1.045,39.58
CCM - Milho,K22,92.38,93.69,1.31,589.5
CCM - Milho,N22,93.75,94.82,1.07,481.5
CCM - Milho,U22,94.39,95.79,1.4,630.0
CCM - Milho,X22,95.65,97.06,1.41,634.5
CCM - Milho,F23,98.32,99.78,1.46,657.0
CCM - Milho,H23,96.15,98.0,1.85,832.5
CCM - Milho,K23,90.5,90.5,0.0,0.0
CCM - Milho,U23,89.13,89.6,0.47,211.5
CCROO - Contrato Futuro de CCRO3,K22,13.44,13.54,0.1,0.1
CCROO - Contrato Futuro de CCRO3,M22,13.54,13.64,0.1,0.1
CHF - Franco Suíço (em Reais),K22,5061.482,5085.066,23.584,1179.2
CHF - Franco Suíço (em Reais),M22,5117.271,5141.416,24.145,1207.25
CHF - Franco Suíço (em Reais),N22,5173.84,5197.796,23.956,1197.8
CHF - Franco Suíço (em Reais),Q22,5225.713,5250.863,25.15,1257.5
CHF - Franco Suíço (em Reais),U22,5287.382,5313.064,25.682,1284.1
CHL - Peso Chileno (em USD),K22,836713.8,845940.0,9226.2,532.02
CHL - Peso Chileno (em USD),M22,842586.2,851339.7,8753.5,504.77
CHL - Peso Chileno (em USD),N22,847450.0,856354.1,8904.1,513.45
CHL - Peso Chileno (em USD),Q22,851615.6,861005.1,9389.5,541.44
CHL - Peso Chileno (em USD),U22,856127.1,865404.2,9277.1,534.96
CIELO - Contrato Futuro de CIEL3,K22,3.47,3.54,0.07,0.07
CIELO - Contrato Futuro de CIEL3,M22,3.5,3.57,0.07,0.07
CLP - Peso Chileno (em Reais),K22,5786.1,5764.1,-22.0,550.0
CLP - Peso Chileno (em Reais),M22,5800.0,5781.9,-18.1,452.5
CLP - Peso Chileno (em Reais),N22,5820.0,5801.4,-18.6,465.0
CLP - Peso Chileno (em Reais),Q22,5838.6,5817.4,-21.2,530.0
CLP - Peso Chileno (em Reais),U22,5861.5,5841.0,-20.5,512.5
CMIGP - Contrato Futuro de CMIG4,K22,14.76,15.18,0.42,0.42
CMIGP - Contrato Futuro de CMIG4,M22,14.9,15.32,0.42,0.42
CNH - Iuan Chinês Offshore (em USD),K22,6535.829,6577.681,41.852,308.86
CNH - Iuan Chinês Offshore (em USD),M22,6550.946,6594.772,43.826,323.43
CNH - Iuan Chinês Offshore (em USD),N22,6562.059,6608.033,45.974,339.28
CNH - Iuan Chinês Offshore (em USD),Q22,6570.086,6618.545,48.459,357.62
CNH - Iuan Chinês Offshore (em USD),U22,6577.955,6629.841,51.886,382.92
CNY - Iuan Chinês Onshore (em Reais),K22,7427.096,7436.547,9.451,330.78
CNY - Iuan Chinês Onshore (em Reais),M22,7473.706,7478.565,4.859,170.06
CNY - Iuan Chinês Onshore (em Reais),N22,7526.561,7528.464,1.903,66.6
CNY - Iuan Chinês Onshore (em Reais),Q22,7575.856,7576.8,0.944,33.04
CNY - Iuan Chinês Onshore (em Reais),U22,7635.575,7634.205,-1.37,47.95
COGNO - Contrato Futuro de COGNO,K22,2.54,2.62,0.08,0.08
COGNO - Contrato Futuro de COGNO,M22,2.55,2.64,0.09,0.09
DAP - Cupom de DI x IPCA,K22,100043.85,100026.85,-17.0,26.88
DAP - Cupom de DI x IPCA,M22,99279.22,99244.61,-34.61,54.73
DAP - Cupom de DI x IPCA,N22,98942.97,98898.51,-44.46,70.31
DAP - Cupom de DI x IPCA,Q22,98595.07,98549.83,-45.24,71.54
DAP - Cupom de DI x IPCA,F23,96128.83,96085.5,-43.33,68.52
DAP - Cupom de DI x IPCA,K23,94603.37,94591.29,-12.08,19.1
DAP - Cupom de DI x IPCA,F24,91538.26,91508.7,-29.56,46.74
DAP - Cupom de DI x IPCA,Q24,88546.22,88600.2,53.98,85.36
DAP - Cupom de DI x IPCA,K25,85422.85,85536.16,113.31,179.2
