Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B40 - Global 2040,N10,131.4063,130.25,-1.1563,1061.07
BGI - Boi gordo,K10,79.91,79.66,-0.25,82.5
BGI - Boi gordo,M10,80.73,80.5,-0.23,75.9
BGI - Boi gordo,N10,82.6,82.3,-0.3,99.0
BGI - Boi gordo,Q10,83.13,82.63,-0.5,165.0
BGI - Boi gordo,U10,83.2,83.0,-0.2,66.0
BGI - Boi gordo,V10,83.97,83.52,-0.45,148.5
BGI - Boi gordo,X10,84.3,84.54,0.24,79.2
BGI - Boi gordo,Z10,84.28,83.68,-0.6,198.0
CCM - Milho,K10,18.23,18.25,0.02,9.0
CCM - Milho,N10,19.0,18.92,-0.08,36.0
CCM - Milho,U10,19.8,19.6,-0.2,90.0
CCM - Milho,X10,20.31,20.13,-0.18,81.0
CCM - Milho,F11,20.95,20.63,-0.32,144.0
CCM - Milho,H11,19.94,19.5,-0.44,198.0
CCM - Milho,K11,19.96,19.5,-0.46,207.0
DAP - Cupom de DI x IPCA,Q10,98593.26,98650.38,57.12,12.07
DAP - Cupom de DI x IPCA,K11,94243.49,94298.09,54.6,40.51
DAP - Cupom de DI x IPCA,X11,90894.53,90947.19,52.66,42.1
DAP - Cupom de DI x IPCA,Q12,86223.12,86273.07,49.95,33.5
DAP - Cupom de DI x IPCA,K13,82083.51,82131.06,47.55,19.47
DAP - Cupom de DI x IPCA,K15,72212.56,72254.4,41.84,55.78
DDI - Cupom cambial,M10,102213.82,104986.14,2772.32,4104.29
DDI - Cupom cambial,N10,102095.21,104864.31,2769.1,4099.57
DDI - Cupom cambial,Q10,101947.2,104712.29,2765.09,4079.23
DDI - Cupom cambial,U10,101804.12,104565.32,2761.2,4065.13
DDI - Cupom cambial,V10,101651.17,104408.23,2757.06,4057.43
DDI - Cupom cambial,F11,101153.62,103897.18,2743.56,4003.34
DDI - Cupom cambial,J11,100557.93,103285.33,2727.4,3940.65
DDI - Cupom cambial,N11,99858.42,102566.85,2708.43,3858.12
DDI - Cupom cambial,V11,99074.3,101761.46,2687.16,3766.08
DDI - Cupom cambial,F12,98135.77,100797.48,2661.71,3676.34
DDI - Cupom cambial,J12,97284.01,99922.62,2638.61,3680.67
DDI - Cupom cambial,N12,96180.4,98789.07,2608.67,3548.66
DDI - Cupom cambial,V12,95061.47,97639.8,2578.33,3400.78
DDI - Cupom cambial,F13,93984.37,96533.48,2549.11,3431.89
DDI - Cupom cambial,J13,92766.19,95282.26,2516.07,3401.65
DDI - Cupom cambial,N13,91585.78,94069.84,2484.06,3448.18
DDI - Cupom cambial,V13,90277.86,92726.44,2448.58,3376.63
DDI - Cupom cambial,F14,88997.06,91410.9,2413.84,3390.8
DDI - Cupom cambial,J14,87764.36,90144.77,2380.41,3364.06
DDI - Cupom cambial,N14,86562.33,88910.14,2347.81,3385.59
DDI - Cupom cambial,V14,85343.98,87658.74,2314.76,3370.95
DDI - Cupom cambial,F15,84185.25,86468.58,2283.33,3086.67
DDI - Cupom cambial,J15,82815.5,85061.68,2246.18,2946.24
DDI - Cupom cambial,N15,81938.52,84160.92,2222.4,2916.96
DDI - Cupom cambial,F16,79870.23,82036.53,2166.3,2728.78
DDI - Cupom cambial,N16,77552.59,79656.03,2103.44,2661.32
DDI - Cupom cambial,F17,75279.11,77320.88,2041.77,2619.79
DDI - Cupom cambial,F18,71595.45,73537.31,1941.86,2442.08
DDI - Cupom cambial,F19,68184.37,70033.72,1849.35,2276.01
DDI - Cupom cambial,F20,64957.33,66719.15,1761.82,2313.02
DDI - Cupom cambial,F21,61913.91,63593.18,1679.27,2305.33
DDI - Cupom cambial,F22,57896.85,59467.17,1570.32,2113.49
DI1 - DI de 1 dia,M10,99397.35,99361.96,-35.39,1.25
DI1 - DI de 1 dia,N10,98614.08,98578.97,-35.11,2.57
DI1 - DI de 1 dia,Q10,97760.56,97725.75,-34.81,3.08
DI1 - DI de 1 dia,U10,96880.32,96845.82,-34.5,11.62
DI1 - DI de 1 dia,V10,95990.15,95955.97,-34.18,14.69
DI1 - DI de 1 dia,F11,93334.33,93301.1,-33.23,61.42
DI1 - DI de 1 dia,J11,90591.7,90559.44,-32.26,88.33
DI1 - DI de 1 dia,N11,87828.02,87796.75,-31.27,89.66
DI1 - DI de 1 dia,V11,84946.83,84916.58,-30.25,72.94
DI1 - DI de 1 dia,F12,82367.3,82337.97,-29.33,69.74
DI1 - DI de 1 dia,J12,79745.87,79717.47,-28.4,36.19
DI1 - DI de 1 dia,N12,77227.67,77200.17,-27.5,53.56
DI1 - DI de 1 dia,V12,74811.9,74785.26,-26.64,41.08
DI1 - DI de 1 dia,F13,72573.07,72547.23,-25.84,8.19
DI1 - DI de 1 dia,J13,70495.89,70470.79,-25.1,9.41
DI1 - DI de 1 dia,N13,68452.87,68428.5,-24.37,46.51
DI1 - DI de 1 dia,V13,66322.59,66298.97,-23.62,48.14
DI1 - DI de 1 dia,F14,64195.19,64172.33,-22.86,75.37
DI1 - DI de 1 dia,J14,62316.99,62294.8,-22.19,78.48
DI1 - DI de 1 dia,N14,60535.57,60514.01,-21.56,103.73
DI1 - DI de 1 dia,V14,58735.11,58714.2,-20.91,30.15
DI1 - DI de 1 dia,F15,56814.44,56794.21,-20.23,133.97
DI1 - DI de 1 dia,J15,55170.05,55150.41,-19.64,163.67
DI1 - DI de 1 dia,N15,53573.27,53554.19,-19.08,191.65
DI1 - DI de 1 dia,F16,50371.28,50353.34,-17.94,246.82
DI1 - DI de 1 dia,N16,47451.97,47435.07,-16.9,253.3
DI1 - DI de 1 dia,F17,44637.32,44621.43,-15.89,258.31
DI1 - DI de 1 dia,F18,39728.4,39714.25,-14.15,194.7
DI1 - DI de 1 dia,F20,31229.56,31218.44,-11.12,299.07
DI1 - DI de 1 dia,F21,27696.33,27686.47,-9.86,285.24
DI1 - DI de 1 dia,F22,24405.24,24396.55,-8.69,275.1
DOL - Dólar comercial,M10,1804.71,1887.301,82.591,4129.55
DOL - Dólar comercial,N10,1816.961,1900.087,83.126,4156.3
DOL - Dólar comercial,Q10,1830.472,1913.898,83.426,4171.3
DOL - Dólar comercial,U10,1844.847,1928.576,83.729,4186.45
DOL - Dólar comercial,V10,1859.253,1943.537,84.284,4214.2
DOL - Dólar comercial,X10,1873.497,1957.876,84.379,4218.95
DOL - Dólar comercial,Z10,1887.848,1972.313,84.465,4223.25
DOL - Dólar comercial,F11,1904.494,1989.056,84.562,4228.1
DOL - Dólar comercial,G11,1920.482,2005.236,84.754,4237.7
DOL - Dólar comercial,J11,1952.081,2037.206,85.125,4256.25
DOL - Dólar comercial,N11,2000.849,2086.693,85.844,4292.2
DOL - Dólar comercial,V11,2053.591,2140.528,86.937,4346.85
DOL - Dólar comercial,F12,2099.131,2186.652,87.521,4376.05
DOL - Dólar comercial,J12,2147.561,2238.929,91.368,4568.4
DOL - Dólar comercial,N12,2195.297,2285.708,90.411,4520.55
DOL - Dólar comercial,V12,2242.35,2332.067,89.717,4485.85
DOL - Dólar comercial,X12,2256.305,2347.867,91.562,4578.1
DOL - Dólar comercial,F13,2281.901,2376.77,94.869,4743.45
DOL - Dólar comercial,J13,2318.238,2415.088,96.85,4842.5
DOL - Dólar comercial,V13,2398.079,2498.198,100.119,5005.95
DOL - Dólar comercial,F14,2435.831,2544.37,108.539,5426.95
DOL - Dólar comercial,J14,2473.63,2584.752,111.122,5556.1
DOL - Dólar comercial,F15,2604.63,2719.471,114.841,5742.05
EUR - Euro (em Reais),M10,2314.3865,2377.1018,62.7153,3135.76
EUR - Euro (em Reais),N10,2329.7,2392.8286,63.1286,3156.43
EUR - Euro (em Reais),U10,2363.5801,2426.8349,63.2548,3162.74
EUR - Euro (em Reais),V10,2381.1363,2444.6878,63.5515,3177.57
EUR - Euro (em Reais),F11,2437.1919,2500.1769,62.985,3149.25
FRC - FRA de cupom,N10,1.39,1.39,0.0,0.0
FRC - FRA de cupom,Q10,1.43,1.52,0.09,0.04
FRC - FRA de cupom,U10,1.47,1.57,0.1,0.05
FRC - FRA de cupom,V10,1.55,1.63,0.08,0.04
FRC - FRA de cupom,F11,1.64,1.75,0.11,0.05
FRC - FRA de cupom,J11,1.82,1.95,0.13,0.06
FRC - FRA de cupom,N11,1.99,2.15,0.16,0.08
FRC - FRA de cupom,V11,2.15,2.33,0.18,0.09
FRC - FRA de cupom,F12,2.38,2.58,0.2,0.1
FRC - FRA de cupom,J12,2.57,2.72,0.15,0.07
FRC - FRA de cupom,N12,2.78,2.96,0.18,0.09
FRC - FRA de cupom,V12,2.95,3.18,0.23,0.11
FRC - FRA de cupom,F13,3.16,3.33,0.17,0.08
FRC - FRA de cupom,J13,3.39,3.54,0.15,0.07
FRC - FRA de cupom,N13,3.61,3.71,0.1,0.05
FRC - FRA de cupom,V13,3.8,3.91,0.11,0.05
FRC - FRA de cupom,F14,4.0,4.08,0.08,0.04
FRC - FRA de cupom,J14,4.17,4.23,0.06,0.03
FRC - FRA de cupom,N14,4.33,4.37,0.04,0.02
FRC - FRA de cupom,V14,4.47,4.5,0.03,0.01
FRC - FRA de cupom,F15,4.5,4.6,0.1,0.05
FRC - FRA de cupom,J15,4.65,4.78,0.13,0.06
FRC - FRA de cupom,N15,4.67,4.8,0.13,0.06
FRC - FRA de cupom,F16,4.78,4.93,0.15,0.07
FRC - FRA de cupom,N16,5.01,5.15,0.14,0.07
FRC - FRA de cupom,F17,5.23,5.35,0.12,0.06
FRC - FRA de cupom,F18,5.43,5.55,0.12,0.06
FRC - FRA de cupom,F19,5.6,5.73,0.13,0.06
FRC - FRA de cupom,F20,5.81,5.9,0.09,0.04
FRC - FRA de cupom,F21,6.0,6.05,0.05,0.02
FRC - FRA de cupom,F22,6.45,6.51,0.06,0.03
IAP - IPCA,N10,3123.71,3122.729,-0.981,49.05
ICF - Café Arábica 4/5,K10,178.15,172.15,-6.0,1125.24
ICF - Café Arábica 4/5,N10,164.5,158.8,-5.7,1068.97
ICF - Café Arábica 4/5,U10,162.85,157.55,-5.3,993.96
ICF - Café Arábica 4/5,Z10,165.45,160.7,-4.75,890.81
ICF - Café Arábica 4/5,H11,168.65,164.75,-3.9,731.4
IGM - IGP-M,N10,423.776,423.776,0.0,0.0
IND - Ibovespa,M10,65494.0,63907.0,-1587.0,1587.0
IND - Ibovespa,Q10,66388.0,64776.0,-1612.0,1612.0
IND - Ibovespa,V10,67256.0,65614.0,-1642.0,1642.0
IND - Ibovespa,Z10,68301.0,66610.0,-1691.0,1691.0
IND - Ibovespa,M11,71774.0,69965.0,-1809.0,1809.0
IND - Ibovespa,V11,74279.0,72418.0,-1861.0,1861.0
T10 - US T-Note 10 anos,M10,118.6719,119.9219,1.25,2294.12
WDL - Dólar comercial Mini,M10,1804.71,1887.301,82.591,412.95
WDL - Dólar comercial Mini,N10,1816.961,1900.087,83.126,415.63
WIN - Ibovespa Mini,M10,65494.0,63907.0,-1587.0,317.4
