Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),U14,2140.096,2136.822,-3.274,196.44
AUD - Dólar Australiano (em Reais),V14,2152.895,2148.996,-3.899,233.94
AUD - Dólar Australiano (em Reais),G15,2202.278,2199.183,-3.095,185.7
BGI - Boi gordo,Q14,122.31,122.62,0.31,102.3
BGI - Boi gordo,U14,125.0,125.09,0.09,29.7
BGI - Boi gordo,V14,126.87,127.32,0.45,148.5
BGI - Boi gordo,X14,127.56,128.19,0.63,207.9
BGI - Boi gordo,Z14,127.3,127.7,0.4,132.0
BRI - Futuro do Índice Brasil 50,V14,9672.0,9622.0,-50.0,500.0
BRI - Futuro do Índice Brasil 50,Z14,9832.0,9780.0,-52.0,520.0
CAD - Dólar Canadense (em Reais),U14,2098.614,2111.681,13.067,784.02
CAD - Dólar Canadense (em Reais),V14,2114.398,2127.109,12.711,762.66
CCM - Milho,Q14,24.0,24.5,0.5,225.0
CCM - Milho,U14,24.44,24.74,0.3,135.0
CCM - Milho,X14,25.43,25.7,0.27,121.5
CCM - Milho,F15,26.65,26.88,0.23,103.5
CCM - Milho,H15,26.61,26.83,0.22,99.0
CHF - Franco Suíço (em Reais),U14,2526.111,2540.733,14.622,731.1
CHF - Franco Suíço (em Reais),V14,2547.44,2562.179,14.739,736.95
CLP - Peso Chileno (em Reais),U14,3961.1,3987.9,26.8,670.0
CLP - Peso Chileno (em Reais),X14,4003.4,4031.0,27.6,690.0
DAP - Cupom de DI x IPCA,Q14,100043.65,99826.41,-217.24,35.15
DAP - Cupom de DI x IPCA,K15,96410.11,96200.76,-209.35,314.23
DAP - Cupom de DI x IPCA,K17,86482.61,86294.82,-187.79,418.71
DDI - Cupom cambial,U14,100583.21,100595.19,11.98,798.57
DDI - Cupom cambial,V14,100493.21,100505.18,11.97,796.6
DDI - Cupom cambial,X14,100417.66,100429.62,11.96,795.82
DDI - Cupom cambial,Z14,100334.02,100345.97,11.95,790.97
DDI - Cupom cambial,F15,100185.79,100197.72,11.93,785.4
DDI - Cupom cambial,J15,99882.88,99894.78,11.9,758.74
DDI - Cupom cambial,N15,99498.56,99510.41,11.85,749.59
DDI - Cupom cambial,V15,99063.5,99075.3,11.8,735.75
DDI - Cupom cambial,F16,98563.98,98575.72,11.74,692.8
DDI - Cupom cambial,J16,98082.35,98094.03,11.68,691.56
DDI - Cupom cambial,N16,97506.87,97518.48,11.61,665.2
DDI - Cupom cambial,V16,96850.56,96862.1,11.54,659.83
DDI - Cupom cambial,F17,96160.97,96172.42,11.45,686.9
DDI - Cupom cambial,J17,95412.03,95423.39,11.36,679.31
DDI - Cupom cambial,N17,94633.12,94644.39,11.27,720.63
DDI - Cupom cambial,V17,93720.09,93731.25,11.16,631.65
DDI - Cupom cambial,F18,92834.37,92845.43,11.06,660.97
DDI - Cupom cambial,J18,91915.88,91926.83,10.95,616.94
DDI - Cupom cambial,N18,90951.67,90962.5,10.83,527.74
DDI - Cupom cambial,V18,90018.36,90029.08,10.72,620.9
DDI - Cupom cambial,F19,89079.2,89089.81,10.61,639.49
DDI - Cupom cambial,J19,88176.55,88187.05,10.5,614.79
DDI - Cupom cambial,N19,87241.9,87252.29,10.39,586.59
DDI - Cupom cambial,V19,86244.03,86254.3,10.27,554.49
DDI - Cupom cambial,F20,85261.32,85271.48,10.16,699.29
DDI - Cupom cambial,J20,84242.59,84252.62,10.03,664.37
DDI - Cupom cambial,N20,83286.3,83296.22,9.92,674.45
DDI - Cupom cambial,F21,81357.57,81367.26,9.69,692.73
DDI - Cupom cambial,N21,79330.44,79339.89,9.45,703.52
DDI - Cupom cambial,F22,77276.43,77285.63,9.2,661.65
DDI - Cupom cambial,F23,73389.5,73398.24,8.74,566.06
DDI - Cupom cambial,F24,69719.62,69727.92,8.3,461.17
DDI - Cupom cambial,F25,65622.18,65630.0,7.82,448.52
DDI - Cupom cambial,F26,61976.3,61983.68,7.38,485.64
DI1 - DI de 1 dia,U14,99349.79,99309.33,-40.46,0.68
DI1 - DI de 1 dia,V14,98462.83,98422.73,-40.1,0.53
DI1 - DI de 1 dia,X14,97539.41,97499.69,-39.72,1.21
DI1 - DI de 1 dia,Z14,96740.27,96700.87,-39.4,2.7
DI1 - DI de 1 dia,F15,95877.02,95837.98,-39.04,0.14
DI1 - DI de 1 dia,J15,93433.18,93395.13,-38.05,16.0
DI1 - DI de 1 dia,N15,90955.5,90918.46,-37.04,35.57
DI1 - DI de 1 dia,V15,88342.72,88306.74,-35.98,53.38
DI1 - DI de 1 dia,F16,85855.27,85820.31,-34.96,84.69
DI1 - DI de 1 dia,J16,83474.55,83440.56,-33.99,84.04
DI1 - DI de 1 dia,N16,81101.41,81068.38,-33.03,107.91
DI1 - DI de 1 dia,V16,78698.01,78665.96,-32.05,149.42
DI1 - DI de 1 dia,F17,76538.18,76507.01,-31.17,145.61
DI1 - DI de 1 dia,J17,74345.2,74314.92,-30.28,166.84
DI1 - DI de 1 dia,N17,72282.1,72252.66,-29.44,184.6
DI1 - DI de 1 dia,V17,70219.24,70190.64,-28.6,147.66
DI1 - DI de 1 dia,F18,68260.77,68232.97,-27.8,162.95
DI1 - DI de 1 dia,J18,66379.18,66352.15,-27.03,213.14
DI1 - DI de 1 dia,N18,64463.6,64437.35,-26.25,221.3
DI1 - DI de 1 dia,V18,62612.97,62587.47,-25.5,252.39
DI1 - DI de 1 dia,F19,60962.79,60937.96,-24.83,188.75
DI1 - DI de 1 dia,J19,59277.81,59253.67,-24.14,156.9
DI1 - DI de 1 dia,N19,57614.52,57591.06,-23.46,123.01
DI1 - DI de 1 dia,V19,55983.42,55960.62,-22.8,141.59
DI1 - DI de 1 dia,F20,54447.39,54425.22,-22.17,155.22
DI1 - DI de 1 dia,J20,52899.0,52877.46,-21.54,144.36
DI1 - DI de 1 dia,N20,51418.41,51397.47,-20.94,132.87
DI1 - DI de 1 dia,V20,49980.88,49960.53,-20.35,162.44
DI1 - DI de 1 dia,F21,48625.2,48605.4,-19.8,192.45
DI1 - DI de 1 dia,J21,47278.91,47259.66,-19.25,177.4
DI1 - DI de 1 dia,N21,45946.85,45928.14,-18.71,161.87
DI1 - DI de 1 dia,F22,43317.89,43300.25,-17.64,132.47
DI1 - DI de 1 dia,N22,40882.33,40865.68,-16.65,139.18
DI1 - DI de 1 dia,F23,38530.23,38514.54,-15.69,142.51
DI1 - DI de 1 dia,N23,36354.36,36339.56,-14.8,125.09
DI1 - DI de 1 dia,F24,34286.58,34272.62,-13.96,110.25
DI1 - DI de 1 dia,F25,30437.18,30424.78,-12.4,83.07
DI1 - DI de 1 dia,F29,19277.07,19269.22,-7.85,73.21
DOL - Dólar comercial,U14,2292.449,2308.502,16.053,802.65
DOL - Dólar comercial,V14,2311.02,2327.219,16.199,809.95
DOL - Dólar comercial,X14,2331.19,2347.485,16.295,814.75
DOL - Dólar comercial,Z14,2348.481,2364.906,16.425,821.25
DOL - Dólar comercial,F15,2366.287,2382.673,16.386,819.3
DOL - Dólar comercial,G15,2385.008,2401.47,16.462,823.1
DOL - Dólar comercial,H15,2401.065,2417.696,16.631,831.55
DOL - Dólar comercial,J15,2420.94,2437.602,16.662,833.1
DOL - Dólar comercial,K15,2439.218,2456.056,16.838,841.9
DOL - Dólar comercial,M15,2457.423,2474.756,17.333,866.65
DOL - Dólar comercial,N15,2476.911,2494.369,17.458,872.9
DOL - Dólar comercial,Q15,2498.548,2516.221,17.673,883.65
DOL - Dólar comercial,V15,2538.714,2556.913,18.199,909.95
DOL - Dólar comercial,F16,2599.016,2617.726,18.71,935.5
DOL - Dólar comercial,H16,2637.648,2656.866,19.218,960.9
DOL - Dólar comercial,J16,2659.973,2679.228,19.255,962.75
DOL - Dólar comercial,N16,2721.413,2741.446,20.033,1001.65
DOL - Dólar comercial,V16,2784.09,2806.153,22.063,1103.15
DOL - Dólar comercial,F17,2841.432,2864.796,23.364,1168.2
DOL - Dólar comercial,J17,2901.533,2926.329,24.796,1239.8
DOL - Dólar comercial,N17,2957.778,2985.282,27.504,1375.2
DOL - Dólar comercial,F18,3074.347,3101.063,26.716,1335.8
DOL - Dólar comercial,F21,3771.693,3815.131,43.438,2171.9
ETH - Etanol Hidratado,Q14,1145.0,1143.0,-2.0,60.0
ETH - Etanol Hidratado,U14,1165.0,1165.0,0.0,0.0
ETH - Etanol Hidratado,V14,1200.0,1195.0,-5.0,150.0
ETH - Etanol Hidratado,X14,1249.0,1245.0,-4.0,120.0
ETH - Etanol Hidratado,Z14,1298.5,1291.5,-7.0,210.0
ETH - Etanol Hidratado,F15,1305.0,1305.0,0.0,0.0
ETH - Etanol Hidratado,G15,1325.0,1325.0,0.0,0.0
ETH - Etanol Hidratado,H15,1325.0,1325.0,0.0,0.0
EUR - Euro (em Reais),U14,3066.76,3084.088,17.328,866.4
EUR - Euro (em Reais),V14,3091.763,3109.228,17.465,873.25
EUR - Euro (em Reais),X14,3118.998,3136.576,17.578,878.9
EUR - Euro (em Reais),Z14,3142.183,3159.852,17.669,883.45
EUR - Euro (em Reais),F15,3166.193,3183.807,17.614,880.7
EUR - Euro (em Reais),J15,3240.42,3258.268,17.848,892.4
EUR - Euro (em Reais),V15,3403.258,3422.876,19.618,980.9
EUR - Euro (em Reais),J16,3576.735,3597.328,20.593,1029.65
EUR - Euro (em Reais),V16,3761.077,3785.006,23.929,1196.45
EUR - Euro (em Reais),J17,3950.154,3976.507,26.353,1317.65
EUR - Euro (em Reais),V17,4146.604,4171.45,24.846,1242.3
FRC - FRA de cupom,V14,1.07,1.08,0.01,0.0
FRC - FRA de cupom,X14,0.94,0.94,0.0,0.0
FRC - FRA de cupom,Z14,0.96,0.98,0.02,0.01
FRC - FRA de cupom,F15,1.13,1.16,0.03,0.01
FRC - FRA de cupom,J15,1.14,1.19,0.05,0.02
FRC - FRA de cupom,N15,1.25,1.29,0.04,0.02
FRC - FRA de cupom,V15,1.36,1.4,0.04,0.02
FRC - FRA de cupom,F16,1.45,1.5,0.05,0.02
FRC - FRA de cupom,J16,1.54,1.59,0.05,0.02
FRC - FRA de cupom,N16,1.64,1.7,0.06,0.03
FRC - FRA de cupom,V16,1.77,1.82,0.05,0.02
FRC - FRA de cupom,F17,1.91,1.94,0.03,0.01
FRC - FRA de cupom,J17,2.04,2.06,0.02,0.01
FRC - FRA de cupom,N17,2.17,2.18,0.01,0.0
FRC - FRA de cupom,V17,2.3,2.34,0.04,0.02
FRC - FRA de cupom,F18,2.44,2.47,0.03,0.01
FRC - FRA de cupom,J18,2.56,2.59,0.03,0.01
FRC - FRA de cupom,N18,2.67,2.72,0.05,0.02
FRC - FRA de cupom,V18,2.81,2.83,0.02,0.01
FRC - FRA de cupom,F19,2.92,2.93,0.01,0.0
FRC - FRA de cupom,J19,3.01,3.03,0.02,0.01
FRC - FRA de cupom,N19,3.1,3.12,0.02,0.01
FRC - FRA de cupom,V19,3.19,3.22,0.03,0.01
FRC - FRA de cupom,F20,3.32,3.32,0.0,0.0
FRC - FRA de cupom,J20,3.42,3.42,0.0,0.0
FRC - FRA de cupom,N20,3.51,3.51,0.0,0.0
FRC - FRA de cupom,F21,3.68,3.67,-0.01,0.0
FRC - FRA de cupom,N21,3.88,3.87,-0.01,0.0
FRC - FRA de cupom,F22,4.06,4.05,-0.01,0.0
FRC - FRA de cupom,F23,4.38,4.38,0.0,0.0
FRC - FRA de cupom,F24,4.66,4.67,0.01,0.0
FRC - FRA de cupom,F25,5.07,5.08,0.01,0.0
