Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AUD - Dólar Australiano (em Reais),Z15,2719.885,2716.995,-2.89,173.4
AUD - Dólar Australiano (em Reais),F16,2738.913,2736.087,-2.826,169.56
AUD - Dólar Australiano (em Reais),G16,2758.55,2755.789,-2.761,165.66
BGI - Boi gordo,X15,148.75,148.7,-0.05,16.5
BGI - Boi gordo,Z15,147.84,147.98,0.14,46.2
BGI - Boi gordo,F16,149.2,148.71,-0.49,161.7
BGI - Boi gordo,G16,149.41,149.56,0.15,49.5
BGI - Boi gordo,H16,147.94,148.09,0.15,49.5
BGI - Boi gordo,J16,148.04,148.22,0.18,59.4
BGI - Boi gordo,K16,148.2,148.35,0.15,49.5
BGI - Boi gordo,N16,149.62,149.73,0.11,36.3
BGI - Boi gordo,Q16,151.04,151.15,0.11,36.3
BGI - Boi gordo,U16,152.34,152.45,0.11,36.3
BGI - Boi gordo,V16,154.15,154.15,0.0,0.0
BRI - Futuro do Índice Brasil 50,Z15,7968.0,8013.0,45.0,450.0
BRI - Futuro do Índice Brasil 50,G16,8118.0,8165.0,47.0,470.0
CAD - Dólar Canadense (em Reais),Z15,2821.055,2825.908,4.853,291.18
CAD - Dólar Canadense (em Reais),F16,2845.19,2850.095,4.905,294.3
CAD - Dólar Canadense (em Reais),G16,2870.239,2874.738,4.499,269.94
CAD - Dólar Canadense (em Reais),H16,2893.129,2897.661,4.532,271.92
CCM - Milho,F16,35.13,34.89,-0.24,108.0
CCM - Milho,H16,35.8,35.7,-0.1,45.0
CCM - Milho,K16,34.25,34.02,-0.23,103.5
CCM - Milho,U16,33.84,33.84,0.0,0.0
CHF - Franco Suíço (em Reais),Z15,3675.779,3670.2,-5.579,278.95
CHF - Franco Suíço (em Reais),G16,3753.381,3744.809,-8.572,428.6
CHF - Franco Suíço (em Reais),H16,3789.127,3779.326,-9.801,490.05
CLP - Peso Chileno (em Reais),Z15,5250.9,5267.4,16.5,412.5
CLP - Peso Chileno (em Reais),G16,5309.9,5317.5,7.6,190.0
CNY - Iuan Chinês Onshore (em Reais),Z15,5868.185,5873.662,5.477,191.69
CNY - Iuan Chinês Onshore (em Reais),G16,5904.032,5906.026,1.994,69.79
DAP - Cupom de DI x IPCA,K17,91480.98,91471.46,-9.52,402.44
DAP - Cupom de DI x IPCA,Q18,83362.01,83353.33,-8.68,711.03
DDI - Cupom cambial,Z15,99755.52,99486.26,-269.26,118.54
DDI - Cupom cambial,F16,99455.04,99186.59,-268.45,88.86
DDI - Cupom cambial,G16,99260.15,98992.23,-267.92,70.02
DDI - Cupom cambial,H16,99021.66,98754.38,-267.28,79.22
DDI - Cupom cambial,J16,98690.02,98423.64,-266.38,72.66
DDI - Cupom cambial,K16,98387.94,98122.37,-265.57,52.61
DDI - Cupom cambial,M16,98058.45,97793.77,-264.68,56.94
DDI - Cupom cambial,N16,97702.91,97439.19,-263.72,44.01
DDI - Cupom cambial,Q16,97256.98,96994.46,-262.52,40.45
DDI - Cupom cambial,U16,96807.11,96545.81,-261.3,6.87
DDI - Cupom cambial,V16,96378.25,96118.11,-260.14,45.6
DDI - Cupom cambial,X16,96005.63,95746.49,-259.14,54.0
DDI - Cupom cambial,Z16,95685.33,95427.06,-258.27,6.23
DDI - Cupom cambial,F17,95278.99,95021.81,-257.18,31.95
DDI - Cupom cambial,G17,94905.59,94649.42,-256.17,47.41
DDI - Cupom cambial,H17,94566.92,94311.67,-255.25,91.31
DDI - Cupom cambial,J17,94183.42,93929.2,-254.22,100.89
DDI - Cupom cambial,N17,93296.72,93044.89,-251.83,169.7
DDI - Cupom cambial,V17,92377.98,92128.63,-249.35,224.77
DDI - Cupom cambial,F18,91559.11,91311.97,-247.14,255.93
DDI - Cupom cambial,J18,90812.39,90567.27,-245.12,238.32
DDI - Cupom cambial,N18,89827.93,89585.47,-242.46,308.34
DDI - Cupom cambial,V18,89145.31,88904.69,-240.62,304.4
DDI - Cupom cambial,F19,88147.42,87909.49,-237.93,388.5
DDI - Cupom cambial,J19,87343.94,87108.18,-235.76,393.87
DDI - Cupom cambial,N19,86649.72,86415.84,-233.88,483.91
DDI - Cupom cambial,V19,85718.2,85486.83,-231.37,493.09
DDI - Cupom cambial,F20,84604.48,84376.12,-228.36,588.38
DDI - Cupom cambial,J20,83725.08,83499.09,-225.99,616.19
DDI - Cupom cambial,N20,82908.83,82685.04,-223.79,633.51
