Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
B34 - Global 2034,J09,106.3125,105.9688,-0.3437,416.18
B40 - Global 2040,J09,119.875,120.1563,0.2813,340.62
BG2 - Boi gordo,H09,76.0,77.0,1.0,330.0
BG2 - Boi gordo,J09,73.97,74.21,0.24,79.2
BG2 - Boi gordo,K09,73.0,73.51,0.51,168.3
BG2 - Boi gordo,M09,73.9,74.33,0.43,141.9
BG2 - Boi gordo,N09,76.99,77.4,0.41,135.3
BG2 - Boi gordo,Q09,77.75,77.98,0.23,75.9
BG2 - Boi gordo,U09,78.2,78.18,-0.02,6.6
BG2 - Boi gordo,V09,78.89,78.87,-0.02,6.6
BG2 - Boi gordo,X09,78.91,79.18,0.27,89.1
BG2 - Boi gordo,Z09,78.5,78.95,0.45,148.5
BGI - Boi gordo,H09,76.0,77.0,1.0,330.0
BGI - Boi gordo,J09,73.97,74.21,0.24,79.2
BGI - Boi gordo,K09,73.0,73.51,0.51,168.3
BGI - Boi gordo,M09,73.9,74.33,0.43,141.9
BGI - Boi gordo,N09,76.99,77.4,0.41,135.3
BGI - Boi gordo,Q09,77.75,77.98,0.23,75.9
BGI - Boi gordo,U09,78.2,78.18,-0.02,6.6
BGI - Boi gordo,V09,78.89,78.87,-0.02,6.6
BGI - Boi gordo,X09,78.91,79.18,0.27,89.1
BGI - Boi gordo,Z09,78.5,78.95,0.45,148.5
CCM - Milho,H09,20.98,20.85,-0.13,58.5
CCM - Milho,K09,21.56,21.4,-0.16,72.0
CCM - Milho,N09,21.8,22.0,0.2,90.0
CCM - Milho,U09,22.88,22.76,-0.12,54.0
CCM - Milho,X09,23.89,23.8,-0.09,40.5
CM2 - Milho,H09,20.98,20.85,-0.13,58.5
CM2 - Milho,K09,21.56,21.4,-0.16,72.0
CM2 - Milho,N09,21.8,22.0,0.2,90.0
CM2 - Milho,U09,22.88,22.76,-0.12,54.0
CM2 - Milho,X09,23.89,23.8,-0.09,40.5
CN2 - Milho,H09,21.15,21.13,-0.02,9.0
CN2 - Milho,K09,21.59,21.52,-0.07,31.5
DAP - Cupom de DI x IPCA,K09,98734.65,98723.06,-11.59,40.0
DAP - Cupom de DI x IPCA,Q10,91127.4,91116.7,-10.7,57.11
DAP - Cupom de DI x IPCA,Q12,79538.05,79528.71,-9.34,54.22
DAP - Cupom de DI x IPCA,K15,66249.09,66241.31,-7.78,298.28
DDI - Cupom cambial,J09,99938.69,100293.27,354.58,951.32
DDI - Cupom cambial,K09,99835.59,100189.8,354.21,951.11
DDI - Cupom cambial,M09,99693.81,100047.52,353.71,970.18
DDI - Cupom cambial,N09,99497.21,99850.22,353.01,1000.41
DDI - Cupom cambial,V09,98624.28,98974.19,349.91,1090.66
DDI - Cupom cambial,F10,97566.4,97912.56,346.16,1133.4
DDI - Cupom cambial,J10,96386.82,96728.79,341.97,1191.3
DDI - Cupom cambial,N10,95159.43,95497.05,337.62,1194.01
DDI - Cupom cambial,V10,93869.13,94202.17,333.04,1073.19
DDI - Cupom cambial,F11,92668.43,92997.21,328.78,1067.83
DDI - Cupom cambial,J11,91505.1,91829.75,324.65,1094.02
DDI - Cupom cambial,N11,90268.56,90588.83,320.27,1087.67
DDI - Cupom cambial,V11,88962.29,89277.92,315.63,1160.43
DDI - Cupom cambial,F12,87873.6,88185.37,311.77,1087.03
DDI - Cupom cambial,J12,86686.2,86993.76,307.56,905.1
DDI - Cupom cambial,N12,85362.17,85665.03,302.86,1135.23
DDI - Cupom cambial,V12,83914.22,84211.94,297.72,1325.24
DDI - Cupom cambial,F13,82501.43,82794.14,292.71,1246.8
DDI - Cupom cambial,J13,81087.18,81374.87,287.69,1309.93
DDI - Cupom cambial,N13,79668.46,79951.12,282.66,1435.83
DDI - Cupom cambial,V13,78175.5,78452.86,277.36,1479.14
DDI - Cupom cambial,F14,76551.51,76823.11,271.6,1542.17
DDI - Cupom cambial,J14,74876.64,75142.3,265.66,1548.86
DDI - Cupom cambial,N14,73298.05,73558.11,260.06,1406.77
DDI - Cupom cambial,V14,71481.72,71735.33,253.61,1390.87
DDI - Cupom cambial,F15,69579.72,69826.58,246.86,1253.8
DDI - Cupom cambial,J15,67990.99,68232.22,241.23,1413.55
DDI - Cupom cambial,F16,63397.84,63622.77,224.93,1295.58
DDI - Cupom cambial,F17,57289.48,57492.74,203.26,1114.66
DDI - Cupom cambial,F18,51237.54,51419.33,181.79,1192.84
DDI - Cupom cambial,F19,46102.45,46266.02,163.57,1076.23
DDI - Cupom cambial,F20,41800.62,41948.93,148.31,973.89
DDI - Cupom cambial,F21,37507.4,37640.47,133.07,865.84
DDI - Cupom cambial,F22,33455.27,33573.97,118.7,764.56
DI1 - DI de 1 dia,J09,99111.93,99065.2,-46.73,2.06
DI1 - DI de 1 dia,K09,98255.08,98208.75,-46.33,8.85
DI1 - DI de 1 dia,M09,97455.97,97410.02,-45.95,12.59
DI1 - DI de 1 dia,N09,96642.16,96596.6,-45.56,14.22
DI1 - DI de 1 dia,V09,94214.25,94169.83,-44.42,24.19
DI1 - DI de 1 dia,F10,91926.72,91883.38,-43.34,19.65
DI1 - DI de 1 dia,J10,89686.82,89644.53,-42.29,41.06
DI1 - DI de 1 dia,N10,87388.1,87346.9,-41.2,89.35
DI1 - DI de 1 dia,V10,84971.33,84931.27,-40.06,120.5
DI1 - DI de 1 dia,F11,82658.86,82619.89,-38.97,143.32
DI1 - DI de 1 dia,J11,80361.14,80323.25,-37.89,147.17
DI1 - DI de 1 dia,N11,78227.09,78190.21,-36.88,167.75
DI1 - DI de 1 dia,V11,75976.53,75940.71,-35.82,215.64
DI1 - DI de 1 dia,F12,73954.47,73919.6,-34.87,149.78
DI1 - DI de 1 dia,J12,71861.11,71827.23,-33.88,222.1
DI1 - DI de 1 dia,N12,69754.61,69721.72,-32.89,242.55
DI1 - DI de 1 dia,V12,67654.5,67622.6,-31.9,238.07
DI1 - DI de 1 dia,F13,65701.98,65671.0,-30.98,120.22
DI1 - DI de 1 dia,J13,63868.93,63838.82,-30.11,48.55
DI1 - DI de 1 dia,N13,61984.18,61954.96,-29.22,1.89
DI1 - DI de 1 dia,V13,60083.69,60055.36,-28.33,71.96
DI1 - DI de 1 dia,F14,58279.64,58252.16,-27.48,73.83
DI1 - DI de 1 dia,F15,51703.63,51679.25,-24.38,146.67
DI1 - DI de 1 dia,F16,45901.16,45879.52,-21.64,152.53
DI1 - DI de 1 dia,F17,40965.19,40945.88,-19.31,377.27
DI1 - DI de 1 dia,F18,36593.15,36575.9,-17.25,433.36
DI1 - DI de 1 dia,F22,23204.27,23193.33,-10.94,522.69
DOL - Dólar comercial,J09,2461.162,2442.002,-19.16,958.0
DOL - Dólar comercial,K09,2479.902,2460.756,-19.146,957.3
DOL - Dólar comercial,M09,2497.007,2477.411,-19.596,979.8
DOL - Dólar comercial,N09,2513.689,2493.344,-20.345,1017.25
DOL - Dólar comercial,Q09,2529.167,2508.062,-21.105,1055.25
DOL - Dólar comercial,U09,2543.373,2521.578,-21.795,1089.75
DOL - Dólar comercial,V09,2557.667,2535.165,-22.502,1125.1
DOL - Dólar comercial,X09,2569.887,2546.843,-23.044,1152.2
DOL - Dólar comercial,Z09,2581.588,2558.022,-23.566,1178.3
DOL - Dólar comercial,F10,2594.5,2570.379,-24.121,1206.05
DOL - Dólar comercial,G10,2605.467,2580.936,-24.531,1226.55
DOL - Dólar comercial,H10,2615.396,2590.468,-24.928,1246.4
DOL - Dólar comercial,J10,2628.094,2602.719,-25.375,1268.75
DOL - Dólar comercial,N10,2661.785,2637.168,-24.617,1230.85
DOL - Dólar comercial,V10,2696.845,2675.399,-21.446,1072.3
DOL - Dólar comercial,Z10,2721.742,2700.499,-21.243,1062.15
DOL - Dólar comercial,F11,2736.171,2715.048,-21.123,1056.15
DOL - Dólar comercial,J11,2779.787,2757.639,-22.148,1107.4
DOL - Dólar comercial,N11,2816.366,2794.587,-21.779,1088.95
DOL - Dólar comercial,V11,2858.175,2835.729,-22.446,1122.3
