Mercadoria,Vencimento,AjusteAnterior,AjusteAtual,Variacao,AjustePorContrato
AFS - Rande da África do Sul (em USD),H20,14954.0,15130.5,176.5,506.43
AFS - Rande da África do Sul (em USD),J20,15024.1,15200.8,176.7,507.0
AFS - Rande da África do Sul (em USD),K20,15081.9,15259.0,177.1,508.15
ARB - Peso Argentino (em Reais),H20,68.646,69.001,0.355,53.25
ARB - Peso Argentino (em Reais),J20,66.14,66.266,0.126,18.9
ARB - Peso Argentino (em Reais),K20,63.425,63.703,0.278,41.7
ARS - Peso Argentino (em USD),H20,62351.3,62614.4,263.1,159648.55
ARS - Peso Argentino (em USD),J20,64823.0,65311.2,488.2,296238.78
ARS - Peso Argentino (em USD),K20,67667.4,68009.7,342.3,207706.95
AUD - Dólar Australiano (em Reais),H20,2883.805,2885.032,1.227,73.62
AUD - Dólar Australiano (em Reais),J20,2890.481,2891.708,1.227,73.62
AUD - Dólar Australiano (em Reais),K20,2894.994,2896.143,1.149,68.94
AUS - Dólar Australiano (em USD),H20,673.764,667.758,-6.006,259.12
AUS - Dólar Australiano (em USD),J20,674.18,668.154,-6.026,259.98
AUS - Dólar Australiano (em USD),K20,674.538,668.486,-6.052,261.1
B3SAO - Contrato Futuro de B3SA3,G20,48.74,48.35,-0.39,0.39
B3SAO - Contrato Futuro de B3SA3,H20,48.88,48.48,-0.4,0.4
BGI - Boi gordo,G20,197.8,195.85,-1.95,643.5
BGI - Boi gordo,H20,200.5,199.0,-1.5,495.0
BGI - Boi gordo,J20,201.0,199.65,-1.35,445.5
BGI - Boi gordo,K20,201.35,200.0,-1.35,445.5
BGI - Boi gordo,M20,203.1,201.75,-1.35,445.5
BGI - Boi gordo,N20,205.8,204.8,-1.0,330.0
BGI - Boi gordo,Q20,207.8,206.75,-1.05,346.5
BGI - Boi gordo,U20,208.6,207.55,-1.05,346.5
BGI - Boi gordo,V20,209.85,208.8,-1.05,346.5
BGI - Boi gordo,X20,220.2,219.1,-1.1,363.0
BGI - Boi gordo,Z20,220.4,219.3,-1.1,363.0
BRI - Futuro do Índice Brasil 50,J20,18840.0,18612.0,-228.0,2280.0
BRI - Futuro do Índice Brasil 50,M20,18942.0,18711.0,-231.0,2310.0
CAD - Dólar Canadense (em Reais),H20,3220.616,3247.777,27.161,1629.66
CAD - Dólar Canadense (em Reais),J20,3225.984,3253.189,27.205,1632.3
CAD - Dólar Canadense (em Reais),K20,3229.295,3256.45,27.155,1629.3
CAN - Dólar Canadense (em USD),H20,1328.983,1330.288,1.305,41.99
CAN - Dólar Canadense (em USD),J20,1329.021,1330.358,1.337,43.02
CAN - Dólar Canadense (em USD),K20,1329.026,1330.404,1.378,44.34
CCM - Milho,H20,49.16,49.38,0.22,99.0
CCM - Milho,K20,46.15,46.17,0.02,9.0
CCM - Milho,N20,42.13,42.35,0.22,99.0
CCM - Milho,U20,41.29,41.31,0.02,9.0
CCM - Milho,X20,42.88,42.9,0.02,9.0
CCM - Milho,F21,43.91,43.93,0.02,9.0
CCROO - Contrato Futuro de CCRO3,G20,17.82,17.3,-0.52,0.52
